0.00033231	8.1674	-1.7796
0.00041749	8.1883	-2.8637
0.0002474	8.2093	-3.0098
0.00025497	8.2302	-2.8742
0.00044893	8.2511	3.071
0.00027226	8.2721	2.9388
0.00017891	8.293	2.9438
0.00031499	8.314	2.2119
0.00027915	8.3349	2.6857
0.00038942	8.3559	2.58
0.00012809	8.3768	2.5916
0.0002528	8.3977	1.373
0.00041456	8.4187	2.3216
0.00010157	8.4396	1.0087
0.00017276	8.4606	1.7883
0.00037928	8.4815	1.4668
0.00019239	8.5025	1.6482
0.00030881	8.5234	2.5809
0.00021189	8.5443	1.3565
0.0002066	8.5653	1.2751
0.00015506	8.5862	0.84364
0.00016938	8.6072	-0.36973
0.0002049	8.6281	1.0825
0.00011587	8.649	0.59138
3.5845e-05	8.67	2.3203
0.00037979	8.6909	0.4823
7.918e-05	8.7119	-1.8461
0.00023605	8.7328	0.50401
0.00011343	8.7538	-0.079599
4.9217e-05	8.7747	1.9553
3.4456e-05	8.7956	0.86518
0.00029517	8.8166	-0.74968
0.00015311	8.8375	-1.3619
0.00013192	8.8585	-1.7552
0.00037863	8.8794	-1.771
6.3631e-05	8.9004	-2.8632
0.0002898	8.9213	-3.0853
0.00036028	8.9422	-2.4795
0.00029944	8.9632	-2.7128
8.5921e-05	8.9841	-1.6796
0.00011222	9.0051	-2.4183
0.00011364	9.026	2.9312
6.8953e-05	9.0469	-2.7363
0.00019352	9.0679	1.6467
0.00024399	9.0888	-2.6416
9.1447e-05	9.1098	-2.84
7.0666e-05	9.1307	2.3101
0.00020895	9.1517	-2.7142
0.00019768	9.1726	2.7211
0.0002292	9.1935	1.637
0.0003012	9.2145	2.6282
0.00019794	9.2354	2.0061
0.00022487	9.2564	2.1409
0.00012443	9.2773	2.1144
0.00021503	9.2982	1.1663
0.00017242	9.3192	0.99466
0.00014262	9.3401	0.56497
0.00013911	9.3611	1.9027
0.0001868	9.382	0.59681
0.00021674	9.403	0.35999
7.0707e-05	9.4239	1.7779
0.00016601	9.4448	0.47596
6.5952e-05	9.4658	0.84959
0.00011704	9.4867	0.71086
0.00024191	9.5077	-0.12327
0.00010017	9.5286	-1.564
0.00012123	9.5496	-1.1817
0.00014056	9.5705	-0.076707
0.00019948	9.5914	-0.066666
0.00012393	9.6124	-0.56202
0.00012833	9.6333	0.66955
0.00016917	9.6543	-0.023287
0.00012069	9.6752	-0.43713
4.6017e-05	9.6961	0.45975
0.00022552	9.7171	-1.2028
0.00019666	9.738	-1.1824
0.00026705	9.759	-1.2022
0.00015884	9.7799	-1.5391
1.5232e-05	9.8009	0.78729
0.00031221	9.8218	-1.7099
0.00011664	9.8427	-2.8674
0.00014395	9.8637	-1.7737
0.00015675	9.8846	-2.441
0.00022296	9.9056	-2.3548
0.0002738	9.9265	-2.4352
0.00017155	9.9475	-2.2423
6.4187e-05	9.9684	3.1392
0.00014055	9.9893	-1.9809
6.0683e-05	10.01	1.6218
0.00011089	10.031	3.1392
9.5001e-05	10.052	-2.9146
0.00016394	10.073	3.1242
0.00016643	10.094	3.0891
0.00011671	10.115	2.4392
0.00027027	10.136	-2.7188
0.00023705	10.157	2.0543
0.00024371	10.178	2.3794
